keys,en,es
SAY_STRANGER_WHAT_DO_U_THINK_T_1A7982,"Say, Stranger. What do u think the [FUENTE PARAISO] looks like?","Decime, qué forma pensás que tiene la [FUENTE PARAISO]?"
IT_MUST_BE_A_BEAUTIFUL_THING_B_45DE64,"it must be a beautiful thing, being able to grant wishes like that.",Es increíble que exista algo capaz de cumplir cualquier deseo.
YNOW_KAI_MAYBE_ITS_TIME_WE_LOW_556CEC,"Ynow Kai, maybe its time we lower the expectations.","Sabés, Kai? Tal vez es momento de que bajemos nuestras expectativas."
FUENTE_PARAISO_MIGHT_NOT_EXIS_D81625,[FUENTE PARAISO] might not exist after all...,Tal vez [FUENTE PARAISO] no exista después de todo...
_8C105E,!,!
SHAKE_RATE_20_0_LEVEL_5_CONNE_EB3B0C,[shake rate=20.0 level=5 connected=1]Stop.[/shake],[shake rate=20.0 level=5 connected=1]Basta.[/shake]
DAD_YOU_VE_BEEN_LIKE_THIS_THE_460741,"Dad, you've been like this the whole trip.","Papá, has estado así todo el viaje."
AND_I_DONT_UNDERSTAND_IT_WE_AR_5D71A1,"And i dont understand it. We are here for Cecil, remember?","Y la verdad no lo entiendo. Estamos acá por Cecil, recordás?"
SO_WHY_DO_U_SOUND_SO_DEFEATED_F6D697,so why do u sound so defeated all the time?,Por qué sonás tan derrotado todo el tiempo?
I_JUST_SHAKE_RATE_20_0_LEVEL_5_A55ED3,I...just...[shake rate=20.0 level=5 connected=1]just...[/shake],Yo[shake rate=20.0 level=5 connected=1]...yo...[/shake]
_7255AA,...,...
IM_SORRY_YOU_HAD_TO_SEE_THAT_294B4F,Im sorry you had to see that.,Disculpa que hayas tenido que ver eso.
KAI_AND_CECIL_ARE_INSEPARABLE_93A4FC,"Kai and Cecil are inseparable, you see.",Cecil y Kai son inseparables.
AND_WHEN_CECIL_GOT_SICK_IT_HIT_7ECCAC,"And when Cecil got sick, it hit him pretty hard.","Y cuando Cecil se enfermó, a Kai le afectó mucho."
BUT_NOTHING_CAN_BE_DONE_FOR_CE_D3BDEA,But nothing can be done for Cecil.,Pero ya no podemos hacer nada por Cecil.
RIGHT_D96DAF,Right?,Cierto?
SHAKE_RATE_20_0_LEVEL_5_CONNE_F2C5FD,[shake rate=20.0 level=5 connected=1]Right?[/shake],[shake rate=20.0 level=5 connected=1]Cierto?[/shake]
