keys,en,es
AHORA_COMO_HACEMOS_PARA_ABRIR_08964C,"Ahora, como hacemos para abrir esta puerta?","Ahora, como hacemos para abrir esta puerta?"
_530F9E,!,!
HIJO_PARECE_QUE_TENEMOS_VISITA_0DD939,"Hijo, parece que tenemos visitas.","Hijo, parece que tenemos visitas."
VISITAS_PERO_SI_ESTAMOS_EN_MED_438D30,Visitas? Pero si estamos en medio de la...,Visitas? Pero si estamos en medio de la...
AH_D2B957,Ah!,Ah!
LA_VERDAD_NO_ESPERABAMOS_ENCON_D12350,La verdad no esperabamos encontrarnos con otras personas por acá.,La verdad no esperabamos encontrarnos con otras personas por acá.
DECIME_QUE_HACES_EN_UN_LUGAR_T_A5F588,"Decime, que haces en un lugar tan lejano como este?","Decime, que haces en un lugar tan lejano como este?"
_A039E7,...,...
YA_VEO_ESTAS_AC_POR_LA_「FUENTE_F3BA06,Ya veo. Estas acá por la 「FUENTE PARAISO」 cierto?,Ya veo. Estas acá por la 「FUENTE PARAISO」 cierto?
UN_ARTEFACTO_M_GICO_CAPAZ_DE_C_17360E,"Un artefacto mágico, capaz de cumplir cualquier deseo.","Un artefacto mágico, capaz de cumplir cualquier deseo."
IMAGINO_QUE_DESEAS_CURAR_TU_EN_4C07A2,"Imagino que deseas curar tu enfermedad, no?","Imagino que deseas curar tu enfermedad, no?"
LA_BUENA_NOTICIA_ES_QUE_EST_S_3E5168,La buena noticia es que estás en el lugar correcto. La 「FUENTE PARAISO」está detrás de esta puerta.,La buena noticia es que estás en el lugar correcto. La 「FUENTE PARAISO」está detrás de esta puerta.
LA_MALA_NOTICIA_ES_QUE_NO_SABE_7201E9,La mala noticia es que no sabemos como abrirla.,La mala noticia es que no sabemos como abrirla.
TRANQUILO_P_YA_VAMOS_A_ENCONTR_D44637,"Tranquilo Pá, ya vamos a encontrar una solución.","Tranquilo Pá, ya vamos a encontrar una solución."
CREO_QUE_TODAV_A_NO_ME_PRESENT_B503D9,"Creo que todavía no me presento. Yo soy Kai, y este es mi padre, Ab.","Creo que todavía no me presento. Yo soy Kai, y este es mi padre, Ab."
HOLA_F4F8D9,...hola.,...hola.
NOSOTROS_TAMBI_N_QUEREMOS_ENCO_1F5CC6,Nosotros también queremos encontrar la 「FUENTE PARAISO」.,Nosotros también queremos encontrar la 「FUENTE PARAISO」.
MI_HERMANO_CECIL_EST_ENFERMO_C_DC3239,"Mi hermano, Cecil, está enfermo como vos.","Mi hermano, Cecil, está enfermo como vos."
TENEMOS_LA_ESPERANZA_DE_CONSEG_A3753C,Tenemos la esperanza de conseguir una cura.,Tenemos la esperanza de conseguir una cura.
LA_ESPERANZA_ES_TUYA_TODO_ESTO_B37028,La esperanza es tuya. Todo esto es una pérdida de tiempo.,La esperanza es tuya. Todo esto es una pérdida de tiempo.
NO_EMPECEMOS_CON_ESO_DE_NUEVO_B1A689,... no empecemos con eso de nuevo por favor.,... no empecemos con eso de nuevo por favor.
DECIME_QU_TE_PARECE_SI_SEGUIMO_29BBF6,"Decime, qué te parece si seguimos el camino juntos? Tres cabezas piensan mejor que dos.","Decime, qué te parece si seguimos el camino juntos? Tres cabezas piensan mejor que dos."
POR_LO_PRONTO_TENEMOS_QUE_ENCO_C99AA5,"Por lo pronto, tenemos que encontrar una forma de abrir esta puerta.","Por lo pronto, tenemos que encontrar una forma de abrir esta puerta."
ME_PARECI_VER_UN_CAMINO_EN_LA_B0BD46,Me pareció ver un camino en la izquierda. Tal vez descubrimos algo de utilidad.,Me pareció ver un camino en la izquierda. Tal vez descubrimos algo de utilidad.
