keys,en,es
_D0E31A,...,...
KAI_4C014F,Kai...,Kai...
WE_FOUND_IT_5DD0D9,We found it.,La encontramos.
FUENTE_PARAISO_380A0A,[FUENTE PARAISO].,[FUENTE PARAISO].
LETS_GRAB_WHAT_WE_NEED_AT_GET_7FE0D6,Lets grab what we need at get out of here.,Tomemos lo que necesitamos y salgamos de este lugar.
SON_JUST_WAIT_A_SECOND_30D13D,"Son, just wait a second.","Hijo, esperá un segundo."
I_IM_SORRY_E3AD56,I... Im sorry.,Yo...lo siento.
IM_VERY_SORRY_647FC1,Im very sorry.,Lo siento mucho
IM_SCARED_KAI_IM_VERY_SCARED_E137A2,"Im scared, Kai. Im very scared.",delete
THIS_WHOLE_TRIP_IVE_BEEN_TERRI_5BBEE7,"This whole trip, ive been terrified.","Todo este viaje, he estado muy asustado."
WHAT_IF_FUENTE_PARAISO_DIDNT_E_5964F4,What if [FUENTE PARAISO] didnt exist?,¿Qué hubieramos hecho si [FUENTE PARAISO] no existía?
I_COULDNT_HANDLE_GETTING_MY_HO_D0FA2A,I couldnt handle getting my hopes up and losing them again.,No podía soportar ilusionarme y volver a perder la esperanza
ITS_OKAY_DAD_IM_SCARED_TOO_48A10B,Its okay dad. Im scared too.,"Está bien, papá. Yo también estoy asustado."
I_DONT_WANT_TO_LOSE_CECIL_2A3C5B,I dont want to lose Cecil.,No quiero perder a Cecil.
ME_NEITHER_THATS_WHY_WE_ARE_HE_0A7BA1,Me neither. Thats why we are here right?,"Yo tampoco. Por eso estamos acá, ¿no?"
CMON_CECIL_IS_WAITING_FOR_US_97422B,"Cmon, Cecil is waiting for us.","Vamos, Cecil nos está esperando en casa."
