keys,en,es
THIS_ONE_TIME_CECIL_AND_I_WERE_46E9FB,This one time Cecil and I were playing together with some paper swords.,Una vez Cecil y yo estabamos jugando con unas espadas hechas con diario.
WHICH_OF_COURSE_WE_WERE_NOT_SU_669237,Which of course we were not supposed to do.,Lo cual obviamente estaba prohibido.
WE_WERE_PLAYING_ON_THE_LIVING_9DB1EA,"we were playing on the living room, jumping from couch to couch.","Estabamos jugando en el living, saltando de sofá en sofá."
WHICH_OF_COURSE_WE_WERE_ALSO_N_742CA6,Which of course we were also not supposed to do.,Lo cual obviamente también estaba prohibido.
ANYWAYS_WE_WERE_IN_THE_HEAT_OF_3F48D5,"anyways, we were in the heat of battle right?",Cuestión que estabamos en medio de la batalla no?
AND_CECIL_HAD_THE_UPPER_HAND_458F55,And Cecil had the upper hand.,Y Cecil estaba a punto de ganar.
SO_I_PULLED_MY_ULTIMATE_MOVE_T_3E33E8,So i pulled my ultimate move: the Sword Helicopter 3000.,Así que tuve que sacar mi movimiento definitivo: La [ESPADA HELICOPTERO 3000]
A_DEVASTATING_ATACK_IT_HELPED_852A45,"A devastating atack, it helped me turn the battle.",Un ataque desvastador que me ayudó a dar vuelta la batalla.
BUT_SUCH_A_POWERFUL_MOVE_COMES_C81B94,But such a powerful move comes with consecuences.,Pero un movimiento tan poderoso tiene graves consecuencias.
THE_CONSECUENCES_BEING_A_VERY_1976DB,the consecuences being: a very expensive lamp and 2 glasses.,Las consecuencias siendo: una lámpara y dos vasos.
SINCE_I_WAS_THE_WINNER_MY_PRIZ_D701CD,"Since i was the winner, my prize was Cecil not saying anything about it.",Mi premio por ganar fue que Cecil no debía decirle a nadie al respecto.
_BBDEE8,...,…
PLEASE_DONT_TELL_THIS_TO_MY_DA_8CBE91,Please dont tell this to my dad.,Por favor no le cuentes a mi papá. 
DO_U_THINK_CECIL_WILL_WANT_TO_10E6CA,Do u think Cecil will want to play again when he gets better?,Creés que Cecil va a querer jugar de nuevo cuando se mejore?
KAI_IS_A_GOOD_KID_HIS_INTENTIO_082724,Kai is a good kid. His intentions come from a good place.,Kai es un buech chico. Sus intenciones vienen de un buen lugar.
BUT_CECIL_429698,But Cecil...,Pero Cecil…
THERE_IS_NOTHING_WE_CAN_DO_A2C1DE,there is nothing we can do.,No hay nada que podamos hacer.
YOU_KNOW_WHAT_I_MEAN_75C997,You know what i mean?,Sabés a lo que me refiero?
YES_I_TOTALLY_HEARD_THAT_CONVE_C4D2E7,"Yes, i totally heard that conversation.","Sí, acabo de escuchar toda la conversación."
YES_I_ALREADY_KNEW_ABOUT_IT_825F1B,"Yes, i already knew about it.","Sí, ya sabía al respecto."
AND_YES_CECIL_RATTED_HIM_OUT_FFCA54,"And yes, Cecil ratted him out.","Y sí, Cecil lo delató."
