keys,en,es
ACTUALLY_WE_SHOULD_ESTABLISH_O_7AE625,"Actually, we should establish ourselves a litte bit more","Actually, we should establish ourselves a litte bit more"
YEAH_WHO_AM_I_ANYWAYS_82574E,yeah. Who am i anyways.,yeah. Who am i anyways.
CMON_DAD_JUST_A_BIT_MORE_B258B1,"Cmon dad, just a bit more.",Dale Pá. Un poquito más. 
I_DONT_KNOW_KAI_MAYBE_THIS_WAS_827FBC,"I dont know Kai, maybe this was a mistake.","No sé Kai, tal vez esto fue un error."
WE_SHOULD_RETURN_HOME_B1BA34,we should return home...,Deberíamos volver a casa...
DAD_WE_ARE_DOING_THIS_FOR_CECI_2DE902,Dad. We are doing this for Cecil. We must have hope.,"Recorda papá, estamos haciendo esto por Cecil. Debemos tener fe."
KAI_CECIL_IS_59E25A,"Kai, Cecil is...","Kai, Cecil está…"
_1B8757,!,!
OH_SORRY_DIDNT_SEE_U_THERE_9429C5,"Oh, sorry, didnt see u there.","Ah, perdón. No te ví llegar."
WE_WERE_JUST_WAITING_FOR_U_8CA7B4,We were just waiting for u.,Te estábamos esperando.
U_TAKE_YOUR_TIME_SOMETIMES_YKN_98A730,u take your time sometimes yknow?,…
ANYWAYS_WE_SHOULD_CONTINUE_DON_149080,"anyways. We should continue, dont we dad?","...deberíamos continuar, ¿no, papá?"
YEAH_LETS_CONTINUE_CCBE31,"...yeah, lets continue.","...sí, continuemos."
