keys,en,es
_8AEB10,...,...
IT_WAS_TRULY_CRUSHING_KNOW_92F2CB,"it was truly crushing, know?",Fue realmente devastador.
WHEN_CECIL_GOT_SICK_I_MEAN_17A978,"when cecil got sick, i mean.","Cuando Cecil enfermó, quiero decir."
WE_TRIED_EVERYTHING_WE_COULD_A_1A468F,"We tried everything we could, and then some.",Intentamos todo lo posible.
NOTHING_EVER_WORKED_THOUGH_0EA757,"Nothing ever worked, though.",Nada funcionó.
AND_KAI_HE_WAS_DEVASTATED_159A77,"And Kai, he was devastated.",Kai estaba totalmente roto.
HE_WOULD_BARELY_TALK_A39ABF,He would barely talk.,Apenas hablaba.
AND_WOULD_NEVER_LEAVE_CECILS_S_416BA9,And would never leave Cecils side.,Y no se alejaba de Cecil ni por un segundo.
AND_I_DIDNT_KNOW_WHAT_TO_DO_58B11B,And...i didnt know what to do.,Yo...no sabía que hacer.
THIS_ONE_DAY_THOUGH_6D47A4,This one day though.,...
KAI_CAME_HOME_SUPER_EXCITED_BF95BF,Kai came home super excited.,"Un día, Kai llegó a casa muy emocionado."
TALKING_HOW_HE_HEARD_FROM_A_FR_4B6070,Talking how he heard from a friend about this magical object.,Hablando de cómo había escuchado sobre este objeto mágico.
CAPABLE_OF_WRANTING_ANY_WISH_A76FEB,Capable of wranting any wish.,Capaz de cumplir cualquier deseo.
WHATEVER_YOUR_HEART_DESIRES_D6B060,Whatever your heart desires.,Lo que sea que tu corazón anhele.
WE_PARTED_THE_NEXT_DAY_78D0C8,We parted the next day.,Salimos el día siguiente.
KAI_WITH_THE_HOPE_OF_SAVING_HI_76D4FD,"Kai, with the hope of saving his brother.","Kai, con la esperanza de salvar a Cecil."
ME_I_DONT_KNOW_I_GUESS_I_JUST_500947,Me? I dont know. I guess i just wanted to see this trough.,Yo? No lo se. Supongo que quería ver qué salía de todo esto.
IM_JUST_SCARED_YKNOW_D6ABE7,Im just scared. Yknow?,La verdad estoy bastante asustado.
THIS_FUENTE_PARAISO_THING_38BC13,This [FUENTE PARAISO] thing...,Esta [FUENTE PARAISO]....
IF_ITS_NOT_REAL_2D897B,If its not real...,Si no es real...
I_DONT_THINK_CAN_HANDLE_IT_DD40E4,I dont think can handle it.,No creo que sea capaz de soportarlo.
