keys,en,es
DAD_DAD_0CFF71,Dad! Dad!,Papá! Papá!
ITS_REAL_THE_FUENTE_PARAISO_IS_18E33B,Its real! The [FUENTE PARAISO] is real!,Es real! [FUENTE PARAISO] es real!
LOOK_I_FOUND_THIS_MAP_IT_SAYS_1760B3,"Look! I found this map, it says the location of the well.","Mirá, encontré este mapa con su ubicación."
CMON_DAD_LETS_GO_26B01A,"Cmon Dad, lets go!","Dale, pá! Vamos! Vamos!"
_3AD5C3,...,...
DAD_9F060F,...Dad?,...Papá?
KAI_MAYBE_ITS_TIME_WE_ACCEPT_T_6E6C11,"Kai, maybe its time we accept the situation we are in.","Kai, es momento de aceptar la situación en la que estamos"
WHAT_ARE_THE_CHANCES_OF_A_MAGI_D98CF9,What are the chances of a magical item existing? None to zero.,Cuales son las chances de que exista un objeto mágico que cumple cualquier deseo?
CECIL_IS_DYING_KAI_2899C3,"Cecil is dying, Kai.",Cecil está muriendo.
AND_THERE_IS_NOTHING_WE_CAN_DO_6C3C57,And there is nothing we can do about it.,Y no hay nada que podamos hacer al respecto.
IM_SORRY_1E59E2,Im sorry.,Lo siento.
NO_3381E7,No.,No.
SHAKE_RATE_20_0_LEVEL_5_CONNE_AB5A3F,[shake rate=20.0 level=5 connected=1]No.[/shake],[shake rate=20.0 level=5 connected=1]No.[/shake]
WHAT_132083,What?,Cómo?
I_REFUSE_TO_GIVE_UP_I_DONT_KNO_BA83CE,"I refuse to give up. I dont know whats gotten into you,",Me niego a darme por vencido. No sé qué te pasa,
BUT_IM_NOT_JUST_LETTING_GO_E34B91,but im not just letting go.,pero no voy a dejarlo ir.
NOT_UNTIL_WE_TRY_EVERYTHING_PO_808AF9,Not until we try everything possible.,No hasta que hayamos intentado todo lo posible.
DONT_U_UNDERSTAND_DAD_CECIL_IS_0542DB,"Dont u understand, Dad? Cecil is dying, he is [i]dying[/i]. There is no turning back from that.","No entendés, Papá? Cecil va a morir si no hacemos nada, y de eso no hay vuelta atrás."
SON_I_EFEB6F,Son...I...,Hijo...yo...
NEXT_1_5F8582,[next=1]!,[next=1]!
IM_SORRY_DAD_536692,"Im sorry, Dad.","Perdón, Papá."
