keys,en,es
_4721DC,...,...
WELL_THAT_SURE_WAS_SOMEHTING_BD7883,"Well, that sure was somehting.","Bueno, eso fue bastante intenso."
HOPEFULLY_WE_WONT_NEED_TO_FIND_D0FAB0,Hopefully we wont need to find any other magical artifacts on the near future.,delete
HOPEFULLY_NEVER_AGAIN_AAC548,Hopefully never again.,Con algo de suerte no vamos a tener que buscar otros artefactos mágicos.
CMON_DAD_DONT_BE_SUCH_A_KILLJO_5F4EC0,"Cmon, Dad. Dont be such a killjoy.","Dale, Pá. No seas mala onda."
YOU_ARE_RIGHT_SORRY_B4EF72,"You are right, sorry.","Tenés razón, perdón."
IM_JUST_GLAD_IT_IS_OVER_13063D,Im just glad it is over.,Pero me alegro que haya terminado.
SAY_WOULD_YOU_WANT_TO_COME_WIT_5D72F9,"Say, would you want to come with us?","Decime, te gustaría venir con nosotros?"
THE_ROAD_IS_LONG_AND_WE_WOULD_436F31,The road is long and we would love your company.,El camino es largo y nos encantaría tener tu compañía.
YEAH_IT_WILL_BE_FUN_019D06,Yeah! It will be fun!,Dale! Va a ser divertido!
DAD_BROUGHT_SOME_GAMES_FOR_THE_9A139A,Dad brought some games for the journey.,Papá trajo unos juegos y me vendría bien un nuevo oponente.
AND_I_COULD_USE_A_NEW_OPPONENT_96060D,And I could use a new opponent.,
IM_TIRED_OF_WINNING_EVERY_TIME_FB0A4F,Im tired of winning every time.,Estoy cansado de ganar todo el tiempo.
THATS_NOT_EVEN_TRUE_IVE_WONT_M_8D4E8D,Thats not even true. Ive wont most-,Cómo? Si yo gané la mayoria de-
LETS_GO_CECIL_IS_WAITING_FOR_U_C1ECD9,Lets go! Cecil is waiting for us!,Vamos! Cecil nos está esperando!
