keys,en,es
WOW_YOU_SURE_ARE_RESOURCEFUL_70792F,"Wow, you sure are resourceful.","Wow, bastante ingenioso."
YOU_COULD_LEARN_A_TRICK_OF_TWO_5D33CA,"You could learn a trick of two from them, old man.",Podrías enseñarle un par de trucos a mi viejo.
VERY_FUNNY_SURELY_YOU_CAN_DO_B_F427F0,very funny. Surely you can do better.,Qué gracioso. Seguro vos podés hacerlo mejor.
OH_BUT_I_CAN_DIDNT_WE_GET_ALL_2C7DE7,"oh, but i can! Didnt we get all the way here after all?",Obvio que puedo! No estamos acá gracias a mí?
I_SUPPOSE_THATS_TRUE_055013,i suppose thats true.,Supongo que eso es verdad.
OF_COURSE_IT_IS_3D6EBE,Of course it is!,Por supuesto que lo es!
AND_WE_MUST_MOVE_FOWARD_IM_SUR_AC5303,And we must move foward. Im sure Cecil is missing us.,Deberíamos seguir. Estoy seguro de que Cecil nos extraña.
LETS_GO_D78EF6,Lets go!,Vamos!
_5FE9C3,...,...
CECIL_9CC576,Cecil...,Cecil...
MHMM_IF_ONLY_WE_KNEW_HOW_TO_OP_213C68,"Mhmm, if only we knew how to open this door...","Mhmm, si tan sólo supieramos cómo abrir esta puerta..."
